tissue_id,spot_id
SPA119,004x026
SPA119,005x010
SPA119,005x011
SPA119,005x012
SPA119,005x013
SPA119,005x014
SPA119,005x015
SPA119,005x016
SPA119,005x017
SPA119,005x018
SPA119,005x019
SPA119,005x026
SPA119,005x027
SPA119,006x010
SPA119,006x011
SPA119,006x012
SPA119,006x013
SPA119,006x014
SPA119,006x015
SPA119,006x016
SPA119,006x017
SPA119,006x018
SPA119,006x019
SPA119,006x020
SPA119,006x021
SPA119,006x022
SPA119,006x026
SPA119,006x027
SPA119,006x029
SPA119,007x010
SPA119,007x011
SPA119,007x012
SPA119,007x013
SPA119,007x014
SPA119,007x015
SPA119,007x016
SPA119,007x017
SPA119,007x018
SPA119,007x019
SPA119,007x020
SPA119,007x021
SPA119,007x022
SPA119,007x026
SPA119,007x027
SPA119,007x028
SPA119,008x010
SPA119,008x011
SPA119,008x012
SPA119,008x013
SPA119,008x014
SPA119,008x015
SPA119,008x016
SPA119,008x017
SPA119,008x018
SPA119,008x019
SPA119,008x020
SPA119,008x021
SPA119,008x022
SPA119,008x029
SPA119,008x030
SPA119,008x031
SPA119,009x010
SPA119,009x011
SPA119,009x012
SPA119,009x013
SPA119,009x014
SPA119,009x015
SPA119,009x016
SPA119,009x017
SPA119,009x018
SPA119,009x019
SPA119,009x020
SPA119,009x021
SPA119,009x022
SPA119,009x026
SPA119,009x030
SPA119,009x031
SPA119,010x010
SPA119,010x011
SPA119,010x012
SPA119,010x013
SPA119,010x014
SPA119,010x015
SPA119,010x016
SPA119,010x017
SPA119,010x018
SPA119,010x019
SPA119,010x020
SPA119,010x021
SPA119,010x022
SPA119,010x023
SPA119,010x026
SPA119,010x030
SPA119,010x031
SPA119,010x032
SPA119,010x033
SPA119,010x034
SPA119,011x010
SPA119,011x012
SPA119,011x013
SPA119,011x014
SPA119,011x015
SPA119,011x016
SPA119,011x017
SPA119,011x018
SPA119,011x019
SPA119,011x020
SPA119,011x021
SPA119,011x022
SPA119,011x023
SPA119,011x026
SPA119,011x027
SPA119,011x032
SPA119,011x033
SPA119,011x034
SPA119,012x010
SPA119,012x011
SPA119,012x012
SPA119,012x013
SPA119,012x014
SPA119,012x015
SPA119,012x016
SPA119,012x017
SPA119,012x018
SPA119,012x019
SPA119,012x020
SPA119,012x021
SPA119,012x022
SPA119,012x023
SPA119,012x024
SPA119,012x025
SPA119,012x026
SPA119,012x027
SPA119,012x028
SPA119,012x031
SPA119,012x032
SPA119,012x033
SPA119,012x034
SPA119,013x010
SPA119,013x011
SPA119,013x012
SPA119,013x013
SPA119,013x014
SPA119,013x015
SPA119,013x016
SPA119,013x017
SPA119,013x018
SPA119,013x019
SPA119,013x020
SPA119,013x021
SPA119,013x022
SPA119,013x023
SPA119,013x024
SPA119,013x025
SPA119,013x026
SPA119,013x027
SPA119,013x028
SPA119,013x033
SPA119,013x034
SPA119,014x010
SPA119,014x011
SPA119,014x012
SPA119,014x013
SPA119,014x014
SPA119,014x015
SPA119,014x016
SPA119,014x017
SPA119,014x018
SPA119,014x019
SPA119,014x020
SPA119,014x021
SPA119,014x022
SPA119,014x023
SPA119,014x024
SPA119,014x025
SPA119,014x026
SPA119,014x027
SPA119,014x028
SPA119,014x029
SPA119,014x030
SPA119,014x034
SPA119,015x009
SPA119,015x010
SPA119,015x011
SPA119,015x012
SPA119,015x013
SPA119,015x014
SPA119,015x015
SPA119,015x016
SPA119,015x017
SPA119,015x018
SPA119,015x019
SPA119,015x020
SPA119,015x021
SPA119,015x022
SPA119,015x023
SPA119,015x024
SPA119,015x025
SPA119,015x026
SPA119,015x027
SPA119,015x028
SPA119,015x029
SPA119,015x030
SPA119,015x031
SPA119,015x032
SPA119,015x033
SPA119,015x034
SPA119,016x009
SPA119,016x010
SPA119,016x011
SPA119,016x012
SPA119,016x013
SPA119,016x014
SPA119,016x015
SPA119,016x016
SPA119,016x017
SPA119,016x018
SPA119,016x019
SPA119,016x020
SPA119,016x021
SPA119,016x022
SPA119,016x023
SPA119,016x024
SPA119,016x025
SPA119,016x026
SPA119,016x027
SPA119,016x028
SPA119,016x029
SPA119,016x030
SPA119,016x031
SPA119,016x032
SPA119,016x033
SPA119,016x034
SPA119,017x009
SPA119,017x010
SPA119,017x011
SPA119,017x012
SPA119,017x013
SPA119,017x014
SPA119,017x015
SPA119,017x016
SPA119,017x017
SPA119,017x018
SPA119,017x019
SPA119,017x020
SPA119,017x021
SPA119,017x022
SPA119,017x023
SPA119,017x024
SPA119,017x025
SPA119,017x026
SPA119,017x027
SPA119,017x028
SPA119,017x029
SPA119,017x030
SPA119,017x031
SPA119,017x032
SPA119,018x009
SPA119,018x010
SPA119,018x011
SPA119,018x012
SPA119,018x013
SPA119,018x014
SPA119,018x015
SPA119,018x016
SPA119,018x017
SPA119,018x019
SPA119,018x020
SPA119,018x021
SPA119,018x022
SPA119,018x023
SPA119,018x024
SPA119,018x025
SPA119,018x026
SPA119,018x027
SPA119,018x028
SPA119,018x029
SPA119,018x030
SPA119,018x031
SPA119,018x032
SPA119,019x009
SPA119,019x010
SPA119,019x011
SPA119,019x012
SPA119,019x013
SPA119,019x014
SPA119,019x015
SPA119,019x016
SPA119,019x017
SPA119,019x018
SPA119,019x019
SPA119,019x020
SPA119,019x021
SPA119,019x022
SPA119,019x023
SPA119,019x024
SPA119,019x025
SPA119,019x026
SPA119,019x027
SPA119,019x028
SPA119,019x029
SPA119,019x030
SPA119,019x031
SPA119,020x009
SPA119,020x010
SPA119,020x011
SPA119,020x012
SPA119,020x013
SPA119,020x014
SPA119,020x015
SPA119,020x016
SPA119,020x017
SPA119,020x018
SPA119,020x019
SPA119,020x020
SPA119,020x021
SPA119,020x022
SPA119,020x023
SPA119,020x024
SPA119,020x025
SPA119,020x026
SPA119,020x027
SPA119,020x028
SPA119,020x029
SPA119,020x030
SPA119,020x031
SPA119,021x009
SPA119,021x010
SPA119,021x011
SPA119,021x012
SPA119,021x013
SPA119,021x014
SPA119,021x015
SPA119,021x016
SPA119,021x017
SPA119,021x018
SPA119,021x019
SPA119,021x020
SPA119,021x021
SPA119,021x022
SPA119,021x023
SPA119,021x024
SPA119,021x025
SPA119,021x026
SPA119,021x027
SPA119,021x028
SPA119,021x029
SPA119,021x030
SPA119,021x031
SPA119,022x009
SPA119,022x010
SPA119,022x011
SPA119,022x012
SPA119,022x013
SPA119,022x014
SPA119,022x015
SPA119,022x016
SPA119,022x017
SPA119,022x018
SPA119,022x019
SPA119,022x020
SPA119,022x021
SPA119,022x022
SPA119,022x023
SPA119,022x024
SPA119,022x025
SPA119,022x026
SPA119,022x027
SPA119,022x028
SPA119,022x029
SPA119,022x030
SPA119,023x009
SPA119,023x010
SPA119,023x011
SPA119,023x012
SPA119,023x013
SPA119,023x014
SPA119,023x015
SPA119,023x016
SPA119,023x017
SPA119,023x018
SPA119,023x019
SPA119,023x020
SPA119,023x021
SPA119,023x022
SPA119,023x023
SPA119,023x024
SPA119,023x025
SPA119,023x026
SPA119,023x027
SPA119,023x028
SPA119,023x029
SPA119,023x030
SPA119,024x010
SPA119,024x011
SPA119,024x012
SPA119,024x013
SPA119,024x016
SPA119,024x017
SPA119,024x018
SPA119,024x019
SPA119,024x020
SPA119,024x021
SPA119,024x023
SPA119,024x024
SPA119,024x025
SPA119,024x026
SPA119,024x027
SPA119,024x028
SPA119,024x029
SPA119,025x011
SPA119,025x012
SPA119,025x013
SPA119,025x014
SPA119,025x015
SPA119,025x016
SPA119,025x017
SPA119,025x018
SPA119,025x019
SPA119,025x020
SPA119,025x021
SPA119,025x022
SPA119,025x023
SPA119,025x024
SPA119,025x025
SPA119,025x026
SPA119,025x027
SPA119,025x028
SPA119,025x029
SPA119,026x011
SPA119,026x012
SPA119,026x013
SPA119,026x014
SPA119,026x015
SPA119,026x016
SPA119,026x017
SPA119,026x018
SPA119,026x019
SPA119,026x020
SPA119,026x021
SPA119,026x022
SPA119,026x023
SPA119,026x024
SPA119,026x025
SPA119,026x026
SPA119,026x027
SPA119,026x028
SPA119,027x011
SPA119,027x012
SPA119,027x013
SPA119,027x014
SPA119,027x015
SPA119,027x016
SPA119,027x017
SPA119,027x018
SPA119,027x019
SPA119,027x020
SPA119,027x021
SPA119,027x022
SPA119,027x023
SPA119,027x024
SPA119,027x025
SPA119,027x026
SPA119,027x027
SPA119,028x011
SPA119,028x012
SPA119,028x013
SPA119,028x014
SPA119,028x015
SPA119,028x016
SPA119,028x017
SPA119,028x018
SPA119,028x019
SPA119,028x020
SPA119,028x021
SPA119,028x022
SPA119,028x023
SPA119,028x024
SPA119,028x025
SPA119,028x026
